config_sequence,performance_ratio,score
"[1, 1, 1, 0, 65996, 272, 246, 4123, 4, 903, 5227]",0.8594141496970525,18865.0
"[1, 0, 1, 1, 62867, 299, 679, 1806, 0, 1466, 7540]",1.1960275158307139,26254.0
"[1, 1, 0, 0, 56276, 301, 555, 3983, 3, 1058, 7164]",0.8681153478201449,19056.0
"[0, 1, 0, 1, 70515, 676, 733, 5084, 0, 1278, 5538]",0.3880461026832491,8518.0
"[0, 1, 1, 1, 37986, 362, 378, 2061, 8, 1662, 3373]",0.5151018176848435,11307.0
"[1, 0, 1, 0, 56275, 322, 666, 2753, 6, 1042, 6301]",1.1698328094392054,25679.0
"[1, 1, 0, 1, 64037, 703, 660, 5040, 2, 1755, 3386]",0.9897043414878594,21725.0
"[1, 1, 1, 0, 48865, 898, 497, 3993, 5, 684, 3199]",0.8648808710309326,18985.0
"[1, 0, 0, 0, 113936, 538, 724, 1690, 3, 611, 3876]",0.9940321625438476,21820.0
"[0, 0, 0, 1, 64996, 448, 235, 4797, 7, 1579, 3498]",0.3663614413921917,8042.0
"[1, 1, 1, 0, 64810, 885, 526, 5174, 2, 1224, 3296]",0.8447906701289235,18544.0
"[0, 0, 1, 0, 30335, 613, 757, 5794, 7, 567, 8056]",0.35059906154617104,7696.0
"[1, 0, 1, 0, 66797, 235, 219, 5614, 2, 1291, 2332]",0.9839187280761696,21598.0
"[0, 1, 0, 0, 118041, 580, 481, 2133, 6, 1858, 6154]",0.4491822696004738,9860.0
"[0, 0, 0, 0, 99389, 622, 353, 5845, 1, 1605, 2566]",0.3504168375017084,7692.0
